8,16,20,26,27,38,4,0,1,14,27,30,31,40,42
5,26,31,32,42,43,4,0,3,8,16,20,26,27,38
6,7,8,12,32,36,4,0,3,5,26,31,32,42,43
4,11,19,27,34,42,6,0,1,6,7,8,12,32,36
11,17,23,29,35,14,4,1,2,4,11,19,27,34,42
3,8,17,32,34,37,4,0,3,11,17,23,29,35,14
16,36,37,39,38,42,4,3,1,3,8,17,32,34,37
2,4,13,26,34,43,6,0,1,16,36,37,39,38,42
1,7,14,20,26,32,4,0,1,2,4,13,26,34,43
11,12,15,25,36,39,4,1,3,1,7,14,20,26,32
13,14,15,16,18,19,4,1,1,11,12,15,25,36,39
6,12,18,25,32,39,4,0,1,13,14,15,16,18,19
4,12,15,29,38,41,6,0,1,6,12,18,25,32,39
